"filename", "language", "JavaScript", "Markdown", "XML", "JSON", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Products\page.js", "JavaScript", 234, 0, 0, 0, 0, 0, 0, 3, 29, 266
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Templates\page.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 2, 25, 204
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Trust\page.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 13, 139
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\[code]\route.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 2, 6, 73
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(Follow)\follow\route.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 2, 15, 60
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(Follow)\getFollow\[userId]\route.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 4, 9, 66
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(Follow)\getuser\route.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(Follow)\isFollowing\route.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 8, 33
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(Follow)\unfollow\route.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(UrlShortner)\addLink\route.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(UrlShortner)\getLinks\route.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\check-handle\route.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\complete\route.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\links\route.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\profile\route.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\status\route.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\theme\route.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 7, 26
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\(onboarding)\onboarding\username\route.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 10, 49
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\ContactusApi\route.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\GetReview\route.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 10, 26
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\Peoples\route.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\Review\route.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 16, 42
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\Socket\route.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\Updatedetails\route.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 8, 142
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\ai\chat\route.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 9, 24, 172
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\forgot-password\route.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 14, 73
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\google\callback\route.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 3, 19, 80
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\login\route.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 4, 11, 85
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\logout\route.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\me\route.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 5, 10, 49
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\register\route.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 3, 13, 65
